time,s0,s1,s2,s3,s4,s5,s6,s7
45.9,0.0,0.0,-0.95325685,0.0,0.0,0.0,0.020157157,1.0942045
45.92,0.0,0.0,-6.9620786,0.0,0.0,0.0,-0.25066728,1.0942045
45.94,0.0,0.0,-10.972081,0.0,0.0,0.0,-0.43614771,1.0988467
45.96,0.0,0.0,2.3278098,0.0,0.0,0.0,0.16984413,1.0988467
45.98,0.0,0.0,9.9824886,0.0,0.0,0.0,0.52152122,1.1016121
46.0,0.0,0.0,7.0654874,0.0,0.0,0.0,0.3934008,1.1016121
46.02,0.0,0.0,4.9215193,0.0,0.0,0.0,0.29717383,1.1029936
46.04,0.0,0.0,10.964804,0.0,0.0,0.0,0.5690187,1.1029936
46.06,0.0,0.0,15.390067,0.0,0.0,0.0,0.77521456,1.1023988
46.08,0.0,0.0,15.955318,0.0,0.0,0.0,0.80348719,1.1023988
46.1,0.0,0.0,13.418665,0.0,0.0,0.0,0.68775939,1.1013227
46.12,0.0,0.0,12.463529,0.0,0.0,0.0,0.64524363,1.1013227
46.14,0.0,0.0,16.423683,0.0,0.0,0.0,0.82831941,1.0982406
46.16,0.0,0.0,10.524815,0.0,0.0,0.0,0.55707155,1.0982406
46.18,0.0,0.0,-5.2874694,0.0,0.0,0.0,-0.1567179,1.0925862
46.2,0.0,0.0,-2.4310703,0.0,0.0,0.0,-0.038403159,1.0925862
46.22,0.0,0.0,-11.143395,0.0,0.0,0.0,-0.43245382,1.0890597
46.24,0.0,0.0,-29.360609,0.0,0.0,0.0,-1.2305591,1.0890597
46.26,0.0,0.0,-0.84099352,0.0,0.0,0.0,0.038935781,1.0885781
46.28,0.0,0.0,12.196438,0.0,0.0,0.0,0.63256848,1.0885781
46.3,0.0,0.0,6.2232313,0.0,0.0,0.0,0.36113412,1.088469
46.32,0.0,0.0,-3.0564861,0.0,0.0,0.0,-0.053085734,1.088469
46.34,0.0,0.0,7.8426261,0.0,0.0,0.0,0.42882644,1.0896027
46.36,0.0,0.0,12.022622,0.0,0.0,0.0,0.6198064,1.0896027
46.38,0.0,0.0,15.23541,0.0,0.0,0.0,0.76923596,1.0909306
46.4,0.0,0.0,15.07553,0.0,0.0,0.0,0.76146256,1.0909306
46.42,0.0,0.0,9.5356874,0.0,0.0,0.0,0.50391393,1.0910336
46.44,0.0,0.0,2.5795867,0.0,0.0,0.0,0.1857472,1.0910336
46.46,0.0,0.0,3.3736424,0.0,0.0,0.0,0.21770265,1.0906444
46.48,0.0,0.0,7.6240301,0.0,0.0,0.0,0.41186501,1.0906444
46.5,0.0,0.0,12.752965,0.0,0.0,0.0,0.64962355,1.0901582
46.52,0.0,0.0,14.429347,0.0,0.0,0.0,0.7276589,1.0901582
46.54,0.0,0.0,-0.16726303,0.0,0.0,0.0,0.073352769,1.0897883
46.56,0.0,0.0,1.4053134,0.0,0.0,0.0,0.14157195,1.0897883
46.58,0.0,0.0,10.901078,0.0,0.0,0.0,0.56447996,1.09036
46.6,0.0,0.0,5.6494236,0.0,0.0,0.0,0.33021559,1.09036
46.62,0.0,0.0,8.4571896,0.0,0.0,0.0,0.46085359,1.0913036
46.64,0.0,0.0,15.389363,0.0,0.0,0.0,0.77653601,1.0913036
46.66,0.0,0.0,15.020881,0.0,0.0,0.0,0.75889752,1.0928395
46.68,0.0,0.0,13.547252,0.0,0.0,0.0,0.68887684,1.0928395
46.7,0.0,0.0,15.089939,0.0,0.0,0.0,0.75953217,1.0924144
46.72,0.0,0.0,16.20229,0.0,0.0,0.0,0.81186028,1.0924144
46.74,0.0,0.0,16.123415,0.0,0.0,0.0,0.80799768,1.0915736
46.76,0.0,0.0,15.16297,0.0,0.0,0.0,0.76192663,1.0915736
46.78,0.0,0.0,11.7026,0.0,0.0,0.0,0.60094082,1.0912097
46.8,0.0,0.0,11.111686,0.0,0.0,0.0,0.57120621,1.0912097
